timeframe,feature,mean_psi,max_psi,high_drift_years
M15,atr_pct_14,0.3311630221118141,0.924015675767287,3
M15,rolling_vol_20,0.27325708859504305,0.7508418635859233,3
M15,high_low_range_pct,0.19644020691914862,0.5481487138920439,2
M15,bb_width_pct_20,0.16850095179265154,0.5363522344232499,2
M15,log_ret_12,0.06029877733855584,0.19116402279615485,0
M15,close_ema_20_ratio,0.05964971801758795,0.18893472351617785,0
M15,close_sma_20_ratio,0.05858070787521745,0.18731355326555343,0
M15,roc_10,0.05870665571846308,0.18290177896227036,0
M15,log_ret_6,0.05639051656055024,0.17800384370707173,0
M15,open_to_close_pct,0.062123425211633485,0.16097092109906314,0
M15,log_ret_1,0.061013257693211524,0.16046001737148086,0
M15,rsi_14,0.005743952426653593,0.015114490390295644,0
M15,bb_position_20,0.00429960418031373,0.012007456719286004,0
M15,minute_of_day_sin,0.0002259957324021444,0.0011396031401717539,0
M15,day_of_week_sin,0.00019200609823060333,0.0003535443584542845,0
M15,is_after_gap,,,0
M5,atr_pct_14,0.30384009230940234,0.8671093958263827,3
M5,rolling_vol_20,0.22426429903704062,0.595226480500462,2
M5,high_low_range_pct,0.20093709432723064,0.5764801943377575,2
M5,bb_width_pct_20,0.1673626744025498,0.4999353085507867,2
M5,close_ema_20_ratio,0.06249680144834733,0.1930496650432354,0
M5,close_sma_20_ratio,0.06124028529850865,0.19176933846995603,0
M5,log_ret_12,0.05849898658396253,0.1814582128979294,0
M5,roc_10,0.058713948603975386,0.1793196546008557,0
M5,log_ret_6,0.05952364876732572,0.16866618187197352,0
M5,open_to_close_pct,0.06248415410144658,0.1566502027787224,0
M5,log_ret_1,0.06203332373216982,0.1563662560832587,0
M5,rsi_14,0.0038551193662643528,0.012480000430296252,0
M5,bb_position_20,0.003008744780294615,0.007634739619338946,0
M5,day_of_week_sin,0.000174899956699232,0.0003264865917128781,0
M5,minute_of_day_sin,3.727551840226784e-05,0.00017444920427842837,0
M5,is_after_gap,,,0
