timeframe,fold,split,start,end,rows,up_rate,mean_abs_return_bps
M5,1,train,2016-01-01 00:00:00+00:00,2020-12-31 23:59:59+00:00,350722,0.49545508978621244,3.298715027438135
M5,1,val,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00,70558,0.4971796252728252,3.4944113701825414
M5,1,test,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00,70571,0.49544430431763753,3.7682179700795735
M5,2,train,2016-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00,421280,0.495743923281428,3.331491191868822
M5,2,val,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00,70571,0.49544430431763753,3.7682179700795735
M5,2,test,2023-01-01 00:00:00+00:00,2023-12-31 23:59:59+00:00,70003,0.49756439009756726,3.1034382509542398
M5,3,train,2016-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00,491851,0.4957009338193884,3.3941529440358624
M5,3,val,2023-01-01 00:00:00+00:00,2023-12-31 23:59:59+00:00,70003,0.49756439009756726,3.1034382509542398
M5,3,test,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,70829,0.5070380776235722,3.5059460852186715
M5,final_holdout,holdout,2025-01-01 00:00:00+00:00,2026-03-31 23:59:59+00:00,87856,0.5083090511746494,5.422552195244849
M15,1,train,2016-01-01 00:00:00+00:00,2020-12-31 23:59:59+00:00,114995,0.49883907995999827,5.660003706950532
M15,1,val,2021-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00,23314,0.498584541477224,5.952730060366014
M15,1,test,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00,23290,0.494461142121082,6.49507809210982
M15,2,train,2016-01-01 00:00:00+00:00,2021-12-31 23:59:59+00:00,138309,0.49879617378478625,5.70934700495376
M15,2,val,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00,23290,0.494461142121082,6.49507809210982
M15,2,test,2023-01-01 00:00:00+00:00,2023-12-31 23:59:59+00:00,22985,0.49497498368501197,5.386856712489467
M15,3,train,2016-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00,161599,0.49817139957549245,5.822588281322208
M15,3,val,2023-01-01 00:00:00+00:00,2023-12-31 23:59:59+00:00,22985,0.49497498368501197,5.386856712489467
M15,3,test,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,23382,0.5103498417586178,6.088453657424259
M15,final_holdout,holdout,2025-01-01 00:00:00+00:00,2026-03-31 23:59:59+00:00,29035,0.5165489925951438,9.4313390081901
