track,model_family,common_rows,pooled_roc_auc,mean_fold_roc_auc,std_fold_roc_auc,pooled_balanced_accuracy,pooled_brier,pooled_log_loss
vanilla_price_only,LightGBM,32471,0.5222953943346131,0.5224850195883313,0.0074477805469063746,0.5137410085687337,0.24988965821994166,0.6929326541781446
vanilla_price_only,LSTM,32471,0.5223558290081001,0.5221271866168137,0.005411632318552509,0.513909377748061,0.2504310659730467,0.69403789008417
vanilla_price_only,CNN-LSTM,32471,0.5197429171207614,0.5203498962186882,0.007831050006944538,0.5135627964665967,0.25010796714394135,0.6933731587038945
vanilla_volume_assisted,LightGBM,32471,0.5214145959577496,0.5216959656021222,0.004749276617715299,0.5137527559614803,0.25003779617842775,0.6932338563020691
vanilla_volume_assisted,LSTM,32471,0.5158676641354516,0.5156594623453415,0.003234052536736573,0.5104948471492915,0.2506733284602381,0.6945148233001085
vanilla_volume_assisted,CNN-LSTM,32471,0.51883525509525,0.5171662226268449,0.009702205161003891,0.5135211902478818,0.2500193802603144,0.6931909411818316
tuned_price_only,LightGBM,32469,0.5214354205387933,0.5210007476691815,0.004817373237611785,0.5143671594415317,0.2501227065692511,0.6934075886434565
tuned_price_only,LSTM,32469,0.519919459335647,0.5188444937221931,0.005073680770035992,0.5126535294960245,0.2500901012906652,0.6933359304105552
tuned_price_only,CNN-LSTM,32469,0.5199338358650646,0.5193877784336908,0.005968233664537818,0.5142439629428088,0.2501695968082537,0.6934987884029319
tuned_volume_assisted,LightGBM,24285,0.5195061645496428,0.5212480493001502,0.005434722708358806,0.5132598267380876,0.25009242042263413,0.693340677697947
tuned_volume_assisted,LSTM,24285,0.5195255356994487,0.520372350089893,0.006671352072228272,0.511466927119101,0.25053961644762757,0.694256644044974
tuned_volume_assisted,CNN-LSTM,24285,0.521045526610744,0.5228544660880293,0.011533138312050094,0.5121462399723269,0.2500667788125499,0.6932952768202543
