model_family,track,feature_set,mode,fold,selection_cost_bps,selected_action,upper_threshold,lower_threshold,min_hold_bars,max_position_change_events_per_day,validation_selected_net_return,validation_selected_sharpe,validation_selected_max_drawdown,validation_selected_trade_count,validation_selected_active_rate,validation_viable_candidates,model_family_display
lightgbm,vanilla_price_only,price_only,vanilla,1,1.0,trade,0.52,0.48,3.0,3.0,0.0838855363208126,0.7299420434166752,-0.1008052917221621,589,0.63712790597924,2,LightGBM
lightgbm,vanilla_price_only,price_only,vanilla,2,1.0,trade,0.51,0.49,1.0,5.0,0.0769323987571639,0.6248498175971909,-0.0976030638882108,1006,0.6594675826534994,1,LightGBM
lightgbm,vanilla_price_only,price_only,vanilla,3,1.0,trade,0.55,0.45,2.0,5.0,0.1915247593445954,1.827487007087,-0.0748845998811121,767,0.4679138568631716,6,LightGBM
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,1.0,trade,0.53,0.47,3.0,3.0,0.0645353161787483,0.545598328842974,-0.1029628182099705,546,0.6824225787080724,2,LightGBM
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,LightGBM
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,3,1.0,trade,0.51,0.49,2.0,3.0,0.1677008610983592,1.4782131887059486,-0.1263598585317188,598,0.7064172286273657,4,LightGBM
lightgbm,tuned_price_only,price_only,tuned,1,1.0,trade,0.55,0.45,3.0,3.0,0.1327724276834339,1.7068043134397402,-0.0407630012761717,363,0.2519087243716222,11,LightGBM
lightgbm,tuned_price_only,price_only,tuned,2,1.0,trade,0.51,0.49,1.0,3.0,0.0461950788377774,0.3767919964009183,-0.1081855052121958,655,0.6725203950193216,1,LightGBM
lightgbm,tuned_price_only,price_only,tuned,3,1.0,trade,0.53,0.47,1.0,3.0,0.0692127854749369,0.6281277182739006,-0.0845453456984083,560,0.6928866652164455,2,LightGBM
lightgbm,tuned_volume_assisted,volume_assisted,tuned,1,1.0,trade,0.55,0.45,3.0,5.0,0.1223120438496199,1.6425009516523152,-0.0304650082688981,572,0.2196534271253324,7,LightGBM
lightgbm,tuned_volume_assisted,volume_assisted,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,LightGBM
lightgbm,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.53,0.47,2.0,5.0,0.1207490838537761,1.1296468927946048,-0.1083416638944632,828,0.6478572982379813,7,LightGBM
lstm,vanilla_price_only,price_only,vanilla,1,1.0,trade,0.51,0.49,1.0,5.0,0.0191124088763023,0.2865616010025521,-0.0748914094465281,899,0.7295751633986928,2,LSTM
lstm,vanilla_price_only,price_only,vanilla,2,1.0,trade,0.52,0.48,1.0,3.0,0.1370323267761874,1.77597018876144,-0.0702488780507991,531,0.761183195717267,2,LSTM
lstm,vanilla_price_only,price_only,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,LSTM
lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,1.0,trade,0.52,0.48,2.0,3.0,0.0076940008616699,0.1139503578959028,-0.0842659511433336,534,0.7747821350762527,1,LSTM
lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,1.0,trade,0.52,0.48,3.0,3.0,0.0822523688744614,1.1342846657756287,-0.1055317775697489,533,0.7496597404954178,2,LSTM
lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,LSTM
lstm,tuned_price_only,price_only,tuned,1,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,LSTM
lstm,tuned_price_only,price_only,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,LSTM
lstm,tuned_price_only,price_only,tuned,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,LSTM
lstm,tuned_volume_assisted,volume_assisted,tuned,1,1.0,trade,0.53,0.47,2.0,5.0,0.1379705909844246,2.2252415538201977,-0.0385868926196659,794,0.6210965867828613,2,LSTM
lstm,tuned_volume_assisted,volume_assisted,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,LSTM
lstm,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.53,0.47,2.0,5.0,0.2064467474961404,2.482650620426929,-0.0921589347135229,770,0.6957059429749227,4,LSTM
cnn_lstm,vanilla_price_only,price_only,vanilla,1,1.0,trade,0.51,0.49,1.0,3.0,0.1014165594289744,1.400617904683144,-0.1124226743865297,586,0.7760530137981119,8,CNN-LSTM
cnn_lstm,vanilla_price_only,price_only,vanilla,2,1.0,trade,0.52,0.48,1.0,3.0,0.0589958463791466,0.7817323397982011,-0.1089815531511492,514,0.8088195263587696,2,CNN-LSTM
cnn_lstm,vanilla_price_only,price_only,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,CNN-LSTM
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,1.0,trade,0.53,0.47,1.0,3.0,0.0344035028523357,0.4883726324188629,-0.1213721805847516,519,0.8011074800290486,2,CNN-LSTM
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,1.0,trade,0.53,0.47,1.0,3.0,0.0470761933416234,0.643760527940313,-0.1069890868265193,519,0.7829598040105253,3,CNN-LSTM
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,CNN-LSTM
cnn_lstm,tuned_price_only,price_only,tuned,1,1.0,trade,0.52,0.48,1.0,3.0,0.0563945415188515,0.7982274532450933,-0.0626751919807383,525,0.7880355846042121,4,CNN-LSTM
cnn_lstm,tuned_price_only,price_only,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,CNN-LSTM
cnn_lstm,tuned_price_only,price_only,tuned,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,CNN-LSTM
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,1,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0,CNN-LSTM
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,2,1.0,trade,0.55,0.45,2.0,3.0,0.0284170200853048,1.343615368491103,-0.0378975204849033,270,0.1612389636705746,6,CNN-LSTM
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.51,0.49,3.0,3.0,0.0101308134449527,0.1684097448215171,-0.079808988425686,593,0.7673528003829584,2,CNN-LSTM
